Date,Open,High,Low,Close,Volume,Adj Close
2013-05-21,59.25,59.70,55.93,58.54,2916600,58.02
2013-05-20,65.22,65.81,59.23,59.73,3130200,59.20
2013-05-17,64.15,65.56,64.14,65.21,958700,64.63
2013-05-16,65.92,66.29,63.63,63.95,909900,63.38
2013-05-15,65.18,67.94,65.15,65.91,1091100,65.32
2013-05-14,65.83,66.38,64.51,65.47,908000,64.89
2013-05-13,65.22,66.65,65.10,65.92,860200,65.33
2013-05-10,66.16,66.94,65.90,66.15,619000,65.56
2013-05-09,67.44,67.80,65.71,65.83,603400,65.24
2013-05-08,67.47,68.00,66.77,67.33,912800,66.73
2013-05-07,66.48,67.66,66.30,67.47,1130600,66.87
2013-05-06,63.00,66.48,62.76,66.15,1626400,65.56
2013-05-03,61.34,62.85,61.13,62.73,798400,62.17
2013-05-02,60.10,60.85,59.57,60.70,485300,60.16
2013-05-01,61.64,61.97,59.36,59.73,825600,59.20
2013-04-30,61.22,61.78,60.58,61.64,619200,61.09
2013-04-29,60.68,61.55,60.68,61.16,566000,60.61
2013-04-26,60.42,61.23,59.85,60.66,676000,60.12
2013-04-25,61.29,62.13,60.11,60.24,734300,59.70
2013-04-24,61.05,61.25,60.03,60.88,687200,60.34
2013-04-23,59.69,61.69,59.26,61.14,864200,60.59
2013-04-22,60.35,60.45,58.64,59.58,697300,59.05
2013-04-19,58.81,60.80,58.14,60.35,807900,59.81
2013-04-18,59.81,59.94,58.48,58.71,742700,58.19
2013-04-17,60.81,60.86,59.00,59.84,1060800,59.31
2013-04-16,58.25,61.35,57.83,61.12,1830300,60.57
2013-04-15,59.06,59.72,56.35,56.63,1128700,56.12
2013-04-12,59.10,59.96,58.64,59.14,595600,58.61
2013-04-11,59.63,60.41,59.12,59.38,644500,58.85
2013-04-10,59.06,59.95,58.92,59.70,783300,59.17
2013-04-09,60.73,60.84,58.90,59.05,608600,58.52
2013-04-08,59.54,60.26,58.93,60.21,665000,59.67
2013-04-05,58.46,59.42,56.71,59.37,572400,58.84
2013-04-04,57.66,59.91,57.52,59.87,719200,59.34
2013-04-03,59.47,60.30,57.26,57.82,1410000,57.30
2013-04-02,62.97,63.12,58.83,59.26,1968800,58.73
2013-04-01,63.75,64.50,63.34,63.60,682400,63.03
2013-03-28,63.63,64.55,63.63,63.96,622900,63.39
2013-03-27,62.38,63.49,62.04,63.29,367800,62.73
2013-03-26,62.60,63.48,62.32,62.79,733100,62.23
2013-03-25,63.17,63.62,62.04,62.32,692600,61.76
2013-03-22,62.13,62.99,61.94,62.85,521100,62.29
2013-03-21,62.71,63.28,61.45,61.85,611900,61.30
2013-03-20,61.35,63.06,60.94,63.00,952900,62.44
2013-03-19,60.85,61.63,60.05,60.92,649600,60.38
2013-03-18,58.83,60.79,58.12,60.58,591300,60.04
2013-03-15,59.53,59.75,58.84,59.24,942600,58.71
2013-03-14,59.51,59.76,59.00,59.55,845000,59.02
2013-03-13,57.43,59.88,57.43,59.46,1151200,58.93
2013-03-12,56.98,57.42,56.74,57.03,613900,56.52
2013-03-11,57.12,57.45,56.77,57.11,599000,56.60
2013-03-08,56.60,57.56,56.43,57.50,908800,56.99
2013-03-07,55.80,56.05,55.33,56.03,512400,55.53
2013-03-06,56.17,56.54,55.28,55.68,962200,55.18
2013-03-05,54.79,56.24,54.59,55.85,1291900,55.35
2013-03-04,52.52,54.62,52.09,54.53,1248700,54.04
2013-03-01,51.36,52.72,51.31,52.40,847500,51.93
2013-02-28,51.50,51.96,51.29,51.55,931200,51.09
2013-02-27,49.84,51.79,49.84,51.44,780300,50.98
2013-02-26,49.86,50.20,49.10,49.99,926700,49.54
2013-02-25,50.95,51.52,49.51,49.55,726100,49.11
2013-02-22,49.93,50.81,49.80,50.80,630500,50.35
2013-02-21,49.61,49.95,49.14,49.64,596200,49.20
2013-02-20,50.21,50.67,49.16,49.25,517100,48.81
2013-02-19,48.92,50.32,48.64,50.30,708100,49.85
2013-02-15,48.93,49.77,48.88,48.98,634900,48.54
2013-02-14,49.33,49.36,48.30,48.71,603000,48.28
2013-02-13,48.88,49.52,48.77,49.52,573400,49.08
2013-02-12,48.81,49.12,48.54,48.86,640100,48.42
2013-02-11,48.82,49.21,48.24,48.80,562500,48.36
2013-02-08,47.99,48.87,47.88,48.67,506300,48.24
2013-02-07,47.19,48.02,47.11,47.80,587200,47.37
2013-02-06,46.58,47.58,46.58,47.42,485000,47.00
2013-02-05,46.65,47.43,46.52,46.86,476300,46.44
2013-02-04,46.11,46.68,45.77,46.51,642700,46.09
2013-02-01,46.31,47.11,46.27,46.57,742400,46.15
2013-01-31,46.13,46.50,45.82,46.13,485400,45.72
2013-01-30,46.36,46.57,45.88,46.06,431400,45.65
2013-01-29,46.69,46.99,45.95,46.36,656300,45.95
2013-01-28,46.77,47.52,46.54,47.07,843700,46.65
2013-01-25,46.38,46.90,45.45,46.61,944100,46.19
2013-01-24,46.75,47.83,45.71,46.39,864900,45.98
2013-01-23,47.41,47.41,46.44,46.65,644400,46.23
2013-01-22,46.78,47.41,46.39,47.18,866900,46.76
2013-01-18,46.96,47.04,46.35,46.64,629400,46.22
2013-01-17,47.24,47.37,46.79,47.04,646900,46.62
2013-01-16,46.71,47.14,46.40,46.98,530100,46.56
2013-01-15,46.45,46.98,45.81,46.70,430400,46.28
2013-01-14,46.85,46.94,46.17,46.43,504400,46.02
2013-01-11,46.17,46.86,46.00,46.84,710600,46.42
2013-01-10,46.51,46.74,45.94,45.97,517600,45.56
2013-01-09,46.16,46.49,46.06,46.31,534600,45.90
2013-01-08,46.29,47.11,45.91,46.00,874000,45.59
2013-01-07,45.36,46.89,45.36,46.35,1040100,45.94
2013-01-04,44.75,45.50,44.69,45.38,607500,44.97
2013-01-03,44.03,44.82,43.32,44.76,1301300,44.36
2013-01-02,44.03,44.22,43.60,43.94,1086700,43.55
2012-12-31,42.83,43.27,42.63,43.09,691600,42.71
2012-12-28,43.18,43.25,42.63,42.73,590000,42.35
2012-12-27,43.46,43.74,42.92,43.26,439100,42.87
2012-12-26,44.11,44.34,43.34,43.48,583400,43.09
2012-12-24,44.33,44.49,43.93,44.15,190400,43.76
2012-12-21,44.62,44.65,44.09,44.42,1111800,44.02
2012-12-20,44.87,45.04,44.35,44.92,546900,44.52
2012-12-19,44.32,45.15,44.31,44.80,776000,44.40
2012-12-18,44.04,44.42,43.84,44.37,870900,43.97
2012-12-17,43.40,44.24,43.36,43.98,632200,43.59
2012-12-14,43.21,43.61,42.69,43.16,576400,42.77
2012-12-13,43.05,43.87,43.05,43.34,380600,42.95
2012-12-12,43.39,43.83,43.04,43.12,414400,42.74
2012-12-11,42.76,43.67,42.45,43.43,580200,43.04
2012-12-10,42.44,42.80,42.11,42.55,554700,42.17
2012-12-07,42.75,42.89,42.16,42.50,682000,42.12
2012-12-06,42.45,42.84,42.27,42.52,593100,42.14
2012-12-05,42.65,42.91,42.34,42.47,704600,42.09
2012-12-04,42.61,42.99,42.05,42.59,631600,42.21
2012-12-03,42.88,42.98,42.21,42.50,598200,42.12
2012-11-30,42.62,43.07,42.27,42.75,1975700,42.37
2012-11-29,42.78,42.80,42.23,42.61,479800,42.23
2012-11-28,42.27,42.57,41.80,42.56,821700,42.18
2012-11-27,42.32,42.75,42.19,42.27,506100,41.89
2012-11-26,42.49,42.72,41.44,42.48,582000,42.10
2012-11-23,42.00,42.53,41.68,42.49,318400,42.11
2012-11-21,41.80,41.86,41.40,41.81,409400,41.44
2012-11-20,41.43,41.89,41.09,41.82,831000,41.45
2012-11-19,40.89,41.54,40.89,41.53,878200,41.16
2012-11-16,40.75,40.78,39.56,40.72,994000,40.36
2012-11-15,40.50,41.50,40.07,40.88,961000,40.52
2012-11-14,41.41,41.93,40.42,40.52,931900,40.16
2012-11-13,41.18,42.48,40.99,41.32,928200,40.95
2012-11-12,40.90,41.50,40.59,41.34,717900,40.97
