,Квантиль,Значение
269,0.27,1.945209703169703
270,0.271,1.9457727063581725
271,0.272,1.9460775197703566
272,0.273,1.9465857779297735
273,0.274,1.9468550925588357
274,0.275,1.9471818291413132
275,0.276,1.9475031939147645
276,0.277,1.9478220880463888
277,0.278,1.9482571080523834
278,0.279,1.9487124949921097
279,0.28,1.9491290541289974
280,0.281,1.9494650499311135
281,0.28200000000000003,1.9497794473231485
282,0.28300000000000003,1.9501025616012946
283,0.28400000000000003,1.950556676391575
284,0.28500000000000003,1.9509832669615887
285,0.28600000000000003,1.9513710305870777
286,0.28700000000000003,1.9517024672443246
287,0.28800000000000003,1.9520590609340904
288,0.28900000000000003,1.9525654544955775
289,0.29,1.9530604182842901
290,0.291,1.9535405679156184
291,0.292,1.9538906584151932
292,0.293,1.9544052897738604
293,0.294,1.9548743689498633
294,0.295,1.9551415098117633
295,0.296,1.9555238469539706
296,0.297,1.9558309327004721
297,0.298,1.9560734484269293
298,0.299,1.956489246473764
299,0.3,1.9569316067937437
300,0.301,1.9576615005927445
301,0.302,1.9582641299688253
302,0.303,1.9588473490212346
303,0.304,1.9592267543643005
304,0.305,1.9595515986038317
305,0.306,1.959790847794404
306,0.307,1.9601681340755692
307,0.308,1.9604900811455304
308,0.309,1.9610234368367
309,0.31,1.9614520048997932
310,0.311,1.9616912974023188
311,0.312,1.9620860521729937
312,0.313,1.9626073600554494
313,0.314,1.9629233455239488
314,0.315,1.9631803073795804
315,0.316,1.9635005230762688
316,0.317,1.963845645915141
317,0.318,1.9644101783440333
318,0.319,1.9647809689677183
319,0.32,1.965172882297134
320,0.321,1.9654215988898156
321,0.322,1.965618562566798
322,0.323,1.965931329863621
323,0.324,1.966515500239746
324,0.325,1.9668702055485863
325,0.326,1.9673596097534336
326,0.327,1.9677155664655637
327,0.328,1.9680791163692914
328,0.329,1.968572249721388
329,0.33,1.9688823381460274
330,0.331,1.969111028429107
331,0.332,1.9694712651356716
332,0.333,1.9697263388158945
333,0.334,1.9701322212899641
334,0.335,1.970604298874561
335,0.336,1.9709420599805818
336,0.337,1.9713975663251813
337,0.338,1.9717160174868138
338,0.339,1.9720176414552242
339,0.34,1.972415671439383
340,0.341,1.9726973408862913
341,0.342,1.9732233944008302
342,0.343,1.973521867809313
